,Condition de prescription ou de délivrance,DesPharma,Dosage subst,Forme pharmaceutique,Nom,Nom subst,Type de générique,Voie d'administartion,cip7,cis,prix
9767,,comprimé,80 mg,granulés buvable pour solution,FERVEX ADULTES SANS SUCRE  granulé pour solution buvable en sachet,OXYCODONE (CHLORHYDRATE D'),,orale,3335959,66947007,0
9768,,comprimé,40 00 mg,poudre pour solution buvable,TRANSIPEG 5 9 g  poudre pour solution buvable en sachet,PRAVASTATINE SODIQUE,,orale,5606411,66948867,0
9769,,comprimé,250 mg,comprimé pelliculé,ALUNBRIG 180 mg  comprimé pelliculé,ACÉTATE D'ABIRATÉRONE,,orale,3016273,66949061,3.923.16
9770,,poudre,40 mg,solution injectable ou pour perfusion,INTRONA 18 millions d'UI/3 ml  solution injectable ou pour perfusion,VORICONAZOLE,,intraveineuse;sous-cutanée,3497490,66949175,0
9771,,comprimé,112 microgrammes,comprimé,ARIPIPRAZOLE ZYDUS 10 mg  comprimé,LÉVOTHYROXINE SODIQUE,,orale,3007945,66950163,17.38
9772,,suppositoire,6 0 mg,comprimé sécable,ATACAND 16 mg  comprimé sécable,ESCULOSIDE SESQUIHYDRATÉ,,orale,3715277,66950291,5.28
9773,,solution,0 10 g,emplâtre médicamenteux(se),FLECTORTISSUGELEP 1 %  emplâtre médicamenteux,CHLORURE DE POTASSIUM,,cutanée,3782233,66950512,0
9774,,capsule,200 mg,comprimé pelliculé,MYCOPHENOLATE MOFETIL MYLAN 500 mg  comprimé pelliculé,PROGESTÉRONE,,orale,4979392,66950569,50.39
9775,,granulés,400 mg,gaz pour inhalation,OXYGENE MEDICINAL LIQUIDE LINDE HEALTHCARE  gaz pour inhalation  en évaporateur mobile et en récipient cryogénique mobile,CHONDROÏTINE (SULFATE DE) A SODIQUE,,inhalée,5625408,66950590,0
9776,,comprimé,0 075 mg,comprimé pelliculé,SPIRAMYCINE BIOGARAN 3 M.U.I.  comprimé pelliculé,DÉSOGESTREL,,orale,3763454,66951450,5.77
9777,,solution,1000 mg,comprimé sécable,FUROSEMIDE ZYDUS 40 mg  comprimé sécable,MESNA,,orale,3001265,66951557,1.85
9778,,solution,7 5 mg,comprimé,REPAGLINIDE ARROW GENERIQUES 1 mg  comprimé,MÉTHOTREXATE,,orale,4985702,66951863,17.74
9779,,comprimé,300 mg,solution buvable,LACTULOSE BIPHAR 66 5 %  solution buvable,FUMARATE DE QUÉTIAPINE,,orale,3737379,66952196,1.64
9780,,comprimé,10 85 mg,comprimé pelliculé sécable,SIMVASTATINE EVOLUGEN 20 mg  comprimé pelliculé sécable,ATORVASTATINE CALCIQUE TRIHYDRATÉE,,orale,3717968,66952723,12.79
9781,,poudre,500 UI,comprimé pelliculé,TADALAFIL MYLAN 20 mg  comprimé pelliculé,EFTRÉNONACOG ALFA ,,orale,3000769,66953323,0
9782,,granulés,5 631 g,solution à diluer pour perfusion,ACIDE ZOLEDRONIQUE FRESENIUS KABI 4 mg/5 ml  solution à diluer pour perfusion,FOSFOMYCINE TROMÉTAMOL,,intraveineuse,2669954,66953992,115.28
9783,,gélule,42 43 mg,poudre et  solvant pour solution injectable,ADVATE 1000 UI  poudre et solvant pour solution injectable,CHLORHYDRATE DE VENLAFAXINE,,intraveineuse,5825917,66954464,0
9784,,comprimé,32 mg,suspension buvable,WELLVONE 750 mg/5 ml  suspension buvable,CANDÉSARTAN CILEXÉTIL,,orale,3657278,66955317,348.86
9785,,gélule,200 mg,comprimé pelliculé sécable,CITALOPRAM ARROW 20 mg  comprimé pelliculé sécable,KÉTOPROFÈNE,,orale,3667727,66956006,5.00
9786,,comprimé,20 mg,solution buvable,CHOPHYTOL 20 POUR CENT  solution buvable,LISINOPRIL ANHYDRE,,orale,3022798,66957955,0
9787,,comprimé,80 mg,suspension pour pulvérisation,RHINOMAXIL 100 microgrammes/dose  suspension pour pulvérisation nasale,TELMISARTAN,,nasale,3707125,66958014,6.21
9788,,comprimé,500 mg,comprimé pelliculé,LEVETIRACETAM KRKA 250 mg  comprimé pelliculé,MITOTANE,,orale,3000403,66958039,15.24
9789,,comprimé,,gélule,ZYKADIA 150 mg  gélule,FUMARATE DE QUÉTIAPINE,,orale,3001569,66958808,4.911.28
9790,,comprimé,4 2 mg,comprimé pelliculé,TOPIRAMATE MYLAN 100 mg  comprimé pelliculé,LÉVOCÉTIRIZINE,,orale,3827088,66961409,10.46
9791,,sirop,0 033 g,comprimé pelliculé,METRONIDAZOLE GERDA 250 mg  comprimé pelliculé,OXOMÉMAZINE,,orale,3014819,66962240,2.11
9792,,comprimé,250 mg,comprimé à libération prolongée,OXSYNIA LP 5 mg/2 5 mg comprimé à libération prolongée,ACIDE URSODÉSOXYCHOLIQUE,,orale,3013237,66962272,2.71
9793,,comprimé,,comprimé pelliculé,MIRTAZAPINE MYLAN 15 mg  comprimé pelliculé,PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ,,orale,3006178,66964138,2.93
9794,,poudre orale,2CH à 30CH et 4DH à 60DH,comprimé,CANDESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 16 mg/12 5 mg  comprimé,AMMONIUM CARBONICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,4159045,66964519,10.83
9795,,solution,20 mg,dispositif,FENTANYL EG 50 microgrammes/heure  dispositif transdermique,FUROSÉMIDE,,transdermique,3984534,66964914,25.92
9796,,comprimé rose clair,2 mg,gaz pour inhalation,OXYGENE MEDICINAL LIQUIDE SOL FRANCE  gaz pour inhalation  en évaporateur mobile,ACÉTATE DE CHLORMADINONE,,inhalée,5614422,66966160,0
9797,,dispositif,13 8 mg,solution à diluer pour perfusion,NAGLAZYME 1 mg/ml  solution à diluer pour perfusion,RIVASTIGMINE,,intraveineuse,5672187,66966299,0
9798,,solution,2 mg,gélule,GABAPENTINE RPG 300 mg  gélule,BISMUTH,,orale,3667868,66966388,22.62
9799,,gélule,20 mg,solution pour perfusion,ALBUNORM 20 %  200 g/l  solution pour perfusion,OMÉPRAZOLE,,intraveineuse,5750852,66967127,0
9800,,solution,0 04 g,comprimé sécable,RAMIPRIL ARROW LAB 5 mg  comprimé sécable,CHLORURE DE BENZALKONIUM,,orale,3863026,66968706,10.83
9801,,comprimé,8 mg,suppositoire,SUPPOSITOIRES A LA GLYCERINE COOPER ADULTES  suppositoire en récipient multidose,CANDÉSARTAN CILEXÉTIL,,rectale,4182475,66970027,0
9802,,collyre,0 100 g,solution injectable,GLUCOSE 30 % RENAUDIN  solution injectable,SALICYLIQUE (ACIDE),,intraveineuse,5680399,66971079,0
9803,,comprimé actif,250 microgrammes,gélule,GABAPENTINE ZENTIVA 100 mg  gélule,NORGESTIMATE,,orale,3744379,66971613,7.56
9804,,gélule,4 mg,solution pour perfusion,MANNITOL LAVOISIER 20 POUR CENT  solution pour perfusion,SILODOSINE,,intraveineuse,3448741,66972245,0
9805,,comprimé,,gélule,TRANDOLAPRIL BIOGARAN 2 mg  gélule,CO-CRISTAL D'AGOMÉLATINE-ACIDE CITRIQUE,,orale,3881490,66972380,3.42
9806,,solution,20 00 g,poudre pour solution injectable ou pour perfusion,MEROPENEM PANPHARMA 500 mg  poudre pour solution injectable ou pour perfusion,BENZOCAÏNE,,intraveineuse,4912502,66973016,0
9807,,comprimé,0 50 mg,comprimé enrobé,PABASUN 500 mg  comprimé enrobé,ALPRAZOLAM,,orale,3293770,66973728,0
9808,,comprimé,0 500 g,granulés à libération prolongée,MICROPAKINE L.P. 1000 mg  granulés à libération prolongée en sachet-dose,PYRAZINAMIDE,,orale,3655173,66973735,28.42
9809,,comprimé,,solution buvable,HUMEX TOUX SECHE OXOMEMAZINE 0 33 mg/ml SANS SUCRE  solution buvable édulcorée à l'acésulfame potassique,ATORVASTATINE CALCIQUE,,orale,4921524,66974004,0
9810,,poudre,75 UI,suspension et  granulés effervescent(e) pour suspension buvable,DUKORAL  suspension et granulés effervescents pour suspension buvable. Vaccin du choléra (inactivé  buvable),LUTROPINE ALFA ,,orale,3651258,66974680,0
9811,,comprimé,7 5 mg,solution et  solution injectable,REBIF 8 8 microgrammes  solution injectable en seringue préremplie / REBIF 22 microgrammes  solution injectable en seringue préremplie,OLANZAPINE,,sous-cutanée,3759027,66975533,538.24
9812,,comprimé,15 mg,gélule à libération prolongée,VENLAFAXINE ALMUS LP 75 mg  gélule à libération prolongée,ARIPIPRAZOLE,,orale,3876230,66976215,5.39
9813,,comprimé,0 68 mg,collyre,CELLUVISC 4 mg/0 4 ml  collyre en récipient unidose,TOLTÉRODINE,,ophtalmique,3379744,66976254,2.92
9814,,comprimé,100 00 mg,solution injectable,CALCIPARINE SOUS CUTANEE 12 500 UI/0 5 ml  solution injectable,TARTRATE DE MÉTOPROLOL,,sous-cutanée,5567036,66977349,0
9815,,gélule,,poudre pour application,PEVARYL 1%  poudre pour application cutanée en flacon poudreur,NILOTINIB (CHLORHYDRATE DE) MONOHYDRATÉ,,cutanée,3342362,66977744,5.18
9816,,poudre,10 g,gélule,RIVASTIGMINE EG 4 5 mg  gélule,MACROGOL 4000,,orale,3979059,66978508,0
9817,,poudre orale,3CH à 30CH et 5DH à 60DH,comprimé à libération prolongée,DOXAZOSINE MYLAN LP 8 mg  comprimé à libération prolongée,PHYTOLACCA DECANDRA  RADIX POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,2165679,66978789,5.68
9818,,comprimé,4 mg,comprimé pelliculé sécable,CARVEDILOL ZENTIVA 12 5 mg  comprimé pelliculé sécable,PÉRINDOPRIL TERT-BUTYLAMINE,,orale,3767630,66980320,4.23
9819,,comprimé,15 mg,comprimé quadrisécable,CAPTOPRIL ZYDUS 25 mg  comprimé quadrisécable,MIRTAZAPINE,,orale,3466992,66981696,3.64
9820,,solution,2 mg,gélule,ARKOGELULES HAMAMELIS  gélule,FLUCONAZOLE,,orale,3316554,66981835,0
9821,,pommade,2CH à 30CH et 4DH à 60DH (pommade à 4 %),gélule gastro-résistant(e),DULOXETINE SANDOZ 30 mg  gélule gastro-résistante,FRAXINUS AMERICANA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3010227,66982271,4.71
9822,,comprimé,500 mg,comprimé pelliculé,TADALAFIL KRKA 10 mg  comprimé pelliculé,CÉFACLOR ANHYDRE,,orale,3008969,66982990,0
9823,,comprimé,25 mg,gaz pour inhalation,OXYGENE MEDICINAL LIQUIDE MESSER FRANCE  gaz pour inhalation  pour évaporateur fixe et pour récipient cryogénique fixe,EXÉMESTANE,,inhalée,2672293,66983665,0
9824,,collyre,2 g,comprimé pelliculé,SILDENAFIL ACCORD 25 mg  comprimé pelliculé,CROMOGLICATE DE SODIUM,,orale,2180213,66984016,0
9825,,solution,2 g,gélule,FLUCONAZOLE BIOGARAN 100 mg  gélule,ÉOSINE DISODIQUE,,orale,3669910,66984913,18.26
9826,,comprimé,7 5 mg,comprimé enrobé,THIOPHENICOL  comprimé enrobé,ZOPICLONE,,orale,3105923,66985431,37.31
9827,,solution,25 g,comprimé pelliculé sécable,PIRACETAM EG 800 mg  comprimé pelliculé sécable,IODE,,orale,3497194,66986355,0
9828,,comprimé,10 mg,comprimé,DIMETRUM 2 mg  comprimé,AMLODIPINE,,orale,3016968,66987336,0
9829,,gélule,15 mg,solution injectable,PLEGRIDY 125 microgrammes  solution injectable en seringue préremplie,LANSOPRAZOLE,,sous-cutanée,2794932,66988648,692.25
9830,,poudre,,comprimé,ARIPIPRAZOLE ZENTIVA 5 mg  comprimé,CEFTRIAXONE SODIQUE,,orale,3002388,66988915,17.38
9831,,gélule,100 mg,poudre pour suspension pour administration intravésicale,IMMUCYST 81 mg  poudre pour suspension intravésicale. B.C.G. pour immunothérapie,CIPROFIBRATE,,intravésicale,4925249,66989351,177.91
9832,,gélule,21 77 mg,poudre et  solvant pour solution injectable,NOVOEIGHT 250 UI  poudre et solvant pour solution injectable,MILNACIPRAN,,intraveineuse,5857395,66990599,0
9833,,comprimé,75 mg,comprimé pelliculé sécable,ESCITALOPRAM ARROW LAB 20 mg  comprimé pelliculé sécable,RISÉDRONATE MONOSODIQUE HÉMIPENTAHYDRATÉ,,orale,3014590,66991231,5.15
9834,,comprimé,400 mg,comprimé pelliculé,IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 150 mg/12 5 mg  comprimé pelliculé,MOXIFLOXACINE,,orale,2219139,66991594,3.75
9835,,suspension,2 40 g,comprimé,COVERAM 5 mg/10 mg  comprimé,PARACÉTAMOL,,orale,4900192,66993780,6.37
9836,,comprimé,20 mg,comprimé pelliculé,ROSUVASTATINE POLFA PABIANICE 10 mg  comprimé pelliculé,RABÉPRAZOLE SODIQUE,,orale,3014465,66994081,24.03
9837,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,comprimé pelliculé,IBUPROFENE PHR LAB 400 mg  comprimé pelliculé,FRAXINUS AMERICANA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,4971019,66994658,0
9838,,comprimé,150 mg,comprimé pelliculé,EXFORGE 5 mg/160 mg  comprimé pelliculé,CHLORHYDRATE DE TRAMADOL,,orale,3781788,66996659,14.75
9839,,comprimé,0 367 mg,collyre en solution,ISOPTO PILOCARPINE 2 POUR CENT  collyre,TAMSULOSINE,,ophtalmique,3325760,66997501,1.71
9840,,comprimé,1 mg,gélule à libération prolongée,REMINYL L.P. 8 mg  gélule à libération prolongée,LORAZÉPAM,,orale,3675939,66998037,0
9841,,solution,100 Unités,gélule,PERMIXON 160 mg  gélule,INSULINE DÉTÉMIR ,,orale,4901711,66999185,0
9842,,comprimé,160 mg,comprimé,EZETIMIBE TEVA 10 mg  comprimé,PHLOROGLUCINOL DIHYDRATÉ,,orale,3005979,66999267,46.69
9843,,granules,2CH à 30CH et 4DH à 60DH,gélule à libération prolongée,MONOCRIXO L.P. 100 mg  gélule à libération prolongée (UNE PRISE QUOTIDIENNE),NATRUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3624712,67000580,3.28
9844,,gélule,340 mg,suppositoire,VOLTARENE 25 mg ENFANT  suppositoire,CASSIS (FEUILLE DE),,rectale,3223953,67001351,1.49
9845,,gélule,200 mg,poudre pour solution buvable,MACROGOL 4000 ZENTIVA 10 g  poudre pour solution buvable en sachet,PASSIFLORE (PARTIE AÉRIENNE DE) (EXTRAIT SEC DE),,orale,3017280,67002485,2.51
9846,,comprimé,200 mg,suspension buvable,POSACONAZOLE MYLAN 40 mg/mL  suspension buvable,OFLOXACINE,,orale,3017689,67003384,0
9847,,comprimé,6 676 mg,comprimé pelliculé à libération prolongée,MECIR L.P. 0 4 mg  comprimé pelliculé à libération prolongée,PÉRINDOPRIL,,orale,3696255,67003701,6.48
9848,,suppositoire,0 030 g,gélule,TACROLIMUS EG 0 5 mg  gélule,PIN SYLVESTRE (ESSENCE DE),,orale,2210196,67003879,39.37
9849,,comprimé,2 5 mg,poudre pour solution pour perfusion,RAPIBLOC 300 mg  poudre pour solution pour perfusion,RAMIPRIL,,intraveineuse,5502691,67004301,0
9850,,poudre orale,2CH à 30CH et 4DH à 60DH,comprimé,TELMISARTAN/HYDROCHLOROTHIAZIDE TEVA SANTE 80 mg/25 mg  comprimé,KALIUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,2734723,67005296,10.83
9851,,solution,2 GBq à la date et à l'heure de calibration,comprimé pelliculé sécable,ATENOLOL MYLAN 50 mg  comprimé pelliculé sécable,FLUORURE (18F) DE SODIUM,,orale,3557513,67005951,2.80
9852,,comprimé,69 8 mg,gélule,FLUOXETINE ZENTIVA 20 mg  gélule,DICLOFÉNAC,,orale,3674561,67006875,2.79
9853,,comprimé,400 mg,comprimé orodispersible,EBASTINE EG 10 mg  comprimé orodispersible,IMATINIB,,orale,3014493,67007518,4.01
9854,,collyre,0 342 g,poudre pour inhalation,NOVOPULMON NOVOLIZER 400 microgrammes/dose  poudre pour inhalation,MALÉATE DE TIMOLOL,,inhalée,3698461,67008036,20.37
9855,,solution buvable en gouttes,4CH à 30CH et 7DH à 60DH,comprimé,TELMISARTAN/HYDROCHLOROTHIAZIDE TEVA SANTE 40 mg/12 5 mg  comprimé,NAPHTALINUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,2734137,67008214,3.75
9856,,collyre,6 8 mg,comprimé pelliculé,ATORVASTATINE MYLAN 20 mg  comprimé pelliculé,TIMOLOL (MALÉATE DE),,orale,3008011,67008260,12.79
9857,,compartiment de la solution d'acides aminés,0 28 g,suspension buvable,ALGINATE DE SODIUM/BICARBONATE DE SODIUM ARROW 500 mg/267 mg pour 10 ml  suspension buvable en sachet,PROLINE,,orale,3006437,67008933,2.02
9858,,gélule,100 mg,solution injectable,LOVENOX 10 000 UI (100 mg)/1 ml  solution injectable en seringue préremplie,FLUCONAZOLE,,intraveineuse;sous-cutanée;voie extracorporelle autre,3646895,67010731,74.57
9859,,compartiment C,4 72 g,poudre et  solvant pour solution injectable,CEFTRIAXONE TEVA SANTE 1 g/3 5 mL  poudre et solvant pour solution injectable (IM),SODIUM (LACTATE DE) ANHYDRE,,intramusculaire,3598133,67011139,5.89
9860,,comprimé,,comprimé enrobé,MESTINON 60 mg  comprimé enrobé,CÉFUROXIME AXÉTIL,,orale,3616279,67013510,4.52
9861,,crème,70 mg,trousse pour préparation radiopharmaceutique,VASCULOCIS 10 mg  trousse pour préparation radiopharmaceutique,TÉTRACAÏNE,,intraveineuse,5609881,67013599,0
9862,,solution,100 microgrammes,solution buvable,LEDUM COMPLEXE N°81  solution buvable en gouttes,ZICONOTIDE,,sublinguale,3370571,67013695,0
9863,,solution buvable en ampoules,4CH à 30CH et 8DH à 60DH,solution pour lavage,DACRYOSERUM  solution pour lavage oculaire,PETROLEUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,ophtalmique,3028039,67014249,0
9864,,comprimé,30 mg,gélule à libération prolongée,GALANTAMINE MYLAN LP 16 mg  gélule à libération prolongée,GLICLAZIDE,,orale,2211037,67014879,0
9865,,solution,,poudre et  solvant pour solution injectable,EDEX 10 microgrammes/1 ml  poudre et solvant pour solution injectable (voie intracaverneuse) en cartouche bicompartiment.,CHLORHYDRATE DE LÉVOBUPIVACAÏNE,,intracaverneuse,3431580,67015187,18.98
9866,,solution,2000 MBq,collyre en solution,MONOKETO 0 25 mg/ml  collyre en solution en récipient unidose,FLUORURE (18F) DE SODIUM,,ophtalmique,2221461,67015785,6.08
9867,,solution,0 0080 g,comprimé sécable,FOSINOPRIL HYDROCHLOROTHIAZIDE ARROW 20 mg/12 5 mg  comprimé sécable,CONCENTRAT DE CHOLÉCALCIFÉROL  FORME PULVÉRULENTE,,orale,3857095,67017829,3.64
9868,,collyre,2 g,gaz pour inhalation,OXYGENE MEDICINAL LIQUIDE AIR LIQUIDE SANTE FRANCE  gaz pour inhalation  pour évaporateur fixe,SODIUM (CROMOGLICATE DE),,inhalée,5605647,67018112,0
9869,,solution,5 mg,comprimé pelliculé,TOPIRAMATE ACCORD 200 mg  comprimé pelliculé,CHLORURE DE MÉTHYLTHIONINIUM,,orale,2745508,67018272,10.46
9870,,comprimé,25 mg,gélule,SERTRALINE BIOGARAN 25 mg  gélule,HYDROCHLOROTHIAZIDE,,orale,3745634,67019171,1.51
9871,,comprimé,1 mg,crème,EFFEDERM 0 05 %  crème,DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ,,cutanée,3176277,67020138,2.37
9872,,poudre orale,2CH à 30CH et 4DH à 60DH,comprimé à libération prolongée,ZOXAN LP 8 mg  comprimé à libération prolongée,DIGITALIS PURPUREA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3762578,67020316,5.68
9873,,comprimé,3CH à 30CH et 6DH à 60DH,solution pour perfusion,CIFLOX 400 mg/200 mL  solution pour perfusion (IV),SOLANUM MALACOXYLON POUR PRÉPARATIONS HOMÉOPATHIQUES,,intraveineuse,3762288,67020451,24.43
9874,,comprimé,50 mg,comprimé pelliculé,FEMARA 2 5 mg  comprimé pelliculé,AZATHIOPRINE,,orale,4902774,67021375,0
9875,,dispositif,8 mg,solution buvable,TARDYFERON 20 mg/mL NOURRISSONS  solution buvable,ESTRADIOL,,orale,3005763,67022776,0
9876,,solution,50 mg,comprimé,RAMIPRIL ARROW GENERIQUES 5 mg  comprimé sécable,D-ALPHA-TOCOPHÉROL,,orale,3008833,67023052,10.83
9877,,solution,0 5 mg,comprimé pelliculé,SEVIKAR 20 mg/5 mg  comprimé pelliculé,DESLORATADINE,,orale,3885826,67023718,0
9878,,gélule (125 mg),125 mg,comprimé pelliculé sécable,BISOCE 10 mg  comprimé pelliculé sécable,APRÉPITANT,,orale,3531519,67024791,11.53
9879,,solution,5 179 mg,gélule à libération prolongée,GALANTAMINE ZYDUS LP 8 mg  gélule à libération prolongée,CUIVRE (GLUCONATE DE),,orale,2201352,67024873,0
9880,,solution,7 5 mg,comprimé pelliculé sécable,ESCITALOPRAM EVOLUGEN PHARMA 15 mg  comprimé pelliculé sécable,CHLORHYDRATE DE ROPIVACAÏNE,,orale,2740089,67024930,5.15
9881,,solution,0 75 mg,comprimé,BASDENE 25 mg  comprimé,EPTIFIBATIDE,,orale,3009964,67025142,2.92
9882,,crème,2CH à 30CH et 4DH à 60DH (crème à 4 %),comprimé pelliculé sécable à libération prolongée,VALPROATE DE SODIUM BIOGARAN L.P. 500 mg  comprimé pelliculé sécable à libération prolongée,ACONITUM NAPELLUS POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3696692,67025516,6.79
9883,,sirop,5 g,sirop,PENTOXYVERINE CLARIX 0 15 % ADULTES  sirop,CARBOCISTÉINE,,orale,3183165,67025669,0
9884,,poudre,0 5 mg,comprimé sécable,PERINDOPRIL SANDOZ 4 mg  comprimé sécable,DACTINOMYCINE,,orale,3848506,67026340,3.64
9885,,comprimé,qsp 6 6 mg,gélule,GABAPENTINE BIOGARAN 400 mg  gélule,EXTRAIT SEC DE POLLEN BRUT SÉCHÉ DE FLÉOLE DES PRÉS,,orale,3668046,67027289,27.12
9886,,comprimé,5 mg,film orodispersible,SETOFILM 8 mg  film orodispersible,ARIPIPRAZOLE,,orale,5842933,67029888,0
9887,,comprimé,250 00 mg,comprimé pelliculé,SOLIFENACINE EG 5 mg  comprimé pelliculé,ACIDE VALPROÏQUE,,orale,3010939,67030068,7.46
9888,,poudre,110 00 microgrammes,comprimé pelliculé,INDAPAMIDE BIOGARAN 2 5 mg  comprimé pelliculé,GUÊPE VESPILA (VENIN DE),,orale,3298046,67031711,6.04
9889,,comprimé,10 mg,comprimé,BUPRENORPHINE EG 0 4 mg  comprimé sublingual,RABÉPRAZOLE SODIQUE,,sublinguale,2241593,67032076,1.71
9890,,gélule,500 mg,comprimé pelliculé,RILUZOLE PMCS 50 mg  comprimé pelliculé,KAOLIN LOURD,,orale,2183921,67032667,138.02
9891,,gélule,75 mg,solution buvable,JOUVENCE DE L'ABBE SOURY  solution buvable en flacon,PRÉGABALINE,,orale,3054976,67034180,0
9892,,solution,20 mg,vernis à ongles médicamenteux(se),AMOROLFINE RANBAXY 5 %  vernis à ongles médicamenteux,CHLORHYDRATE D'IRINOTÉCAN TRIHYDRATÉ,,cutanée,3000231,67034369,0
9893,,solution,10 00 mg,collyre,GENAC 5 POUR CENT  collyre,CHLORHYDRATE DE THIAMINE,,ophtalmique,3364783,67034433,3.60
9894,,comprimé,1 g,comprimé pelliculé,ONDANSETRON SANDOZ 8 mg  comprimé pelliculé,AMOXICILLINE,,orale,3761567,67034465,4.71
9895,,gélule,300 mg,gélule,PARACETAMOL SANDOZ 500 mg  gélule,CHLORHYDRATE DE DILTIAZEM,,orale,3631830,67034675,1.16
9896,,comprimé,25 mg,solution injectable,MODECATE 25 mg/1ml  solution injectable I.M. en ampoule,CARVÉDILOL,,intramusculaire,3121460,67035485,5.07
9897,,solution,100 unités,comprimé pelliculé,GABAPENTINE MYLAN 800 mg  comprimé pelliculé,INSULINE GLARGINE ,,orale,3772950,67035859,33.40
9898,,comprimé,15 mg,comprimé pelliculé,CLOPIDOGREL SANDOZ 75 mg  comprimé pelliculé,LANSOPRAZOLE,,orale,3998424,67036338,9.71
9899,,poudre,50 g,comprimé sécable,DRIPTANE 5 mg  comprimé sécable,PARAFFINE LIQUIDE,,orale,3369562,67037066,3.81
9900,,comprimé,30 mg,comprimé dispersible,EXJADE 125 mg  comprimé dispersible,ÉTORICOXIB,,orale,3769511,67037109,156.27
9901,,solution,0 033 g,implant,ZOLADEX 3 6 mg  implant en seringue préremplie pour voie sous-cutanée,OXOMÉMAZINE,,sous-cutanée,3293267,67037162,107.84
9902,,gélule,160 mg,comprimé pelliculé,ENALAPRIL/LERCANIDIPINE EG 20 mg/10 mg  comprimé pelliculé,SERENOA REPENS (EXTRAIT LIPIDO-STÉROLIQUE DE),,orale,3013107,67037244,6.32
9903,,solution,1 250 g,comprimé pelliculé sécable,ZOCOR 20 mg  comprimé pelliculé sécable,PIRACÉTAM,,orale,3676689,67037301,4.95
9904,,solution,35 00 g,comprimé pelliculé,BONTEFEL 10 mg  comprimé pelliculé,CADE (HUILE DE),,orale,4988296,67037319,4.10
9905,,solution,46 901 g,comprimé orodispersible,ZOLMITRIPTAN EVOLUGEN 2 5 mg  comprimé orodispersible,DIMÉGLUMINE (GADOPENTÉTATE DE),,orale,3919330,67038894,15.38
9906,,comprimé,84 24 mg,comprimé gastro-résistant(e),INEXIUM 20 mg  comprimé gastro-résistant,FLUVASTATINE SODIQUE,,orale,4901579,67038905,0
9907,,gélule,2 00 mg,poudre pour solution injectable ou pour perfusion,MEROPENEM GERDA 1 g  poudre pour solution injectable / pour perfusion,CHLORAMBUCIL,,intraveineuse,3019088,67039099,141.46
9908,,comprimé,10 mg,gélule,AMLODIPINE ISOMED 5 mg  gélule,ÉVÉROLIMUS,,orale,4972390,67039971,0
9909,,solution,5 mg,comprimé pelliculé,MONTELUKAST KRKA 10 mg  comprimé pelliculé,ACIDE SALICYLIQUE,,orale,4947920,67040436,11.01
9910,,comprimé,10 mg,comprimé,CLARITYNE 10 mg  comprimé,ÉBASTINE,,orale,3298916,67040450,2.57
9911,,poudre,2 g,gélule,IODURE (131 I) DE SODIUM POUR THERAPIE CURIUMPHARMA  gélule,CYTARABINE,,orale,5612280,67041506,0
9912,,dispositif,179 mg,granulés pour solution buvable,SOLMUCOL 200 mg  granulés pour solution buvable en sachet-dose,CAPSAÏCINE,,orale,3771643,67041627,0
9913,,comprimé,12 5 mg,collyre en solution,BIMATOPROST EG 0 3 mg/ml  collyre en solution,HYDROCHLOROTHIAZIDE,,ophtalmique,3007372,67042647,5.55
9914,,gélule,300 mg,comprimé à croquer,SINUSPAX  comprimé à croquer,PRÉGABALINE,,sublinguale,3202075,67042889,0
9915,,comprimé,267 mg,solution injectable,PEGASYS 135 microgrammes  solution injectable en seringue préremplie,PIRFÉNIDONE,,sous-cutanée,3599581,67042907,132.33
9916,,comprimé,3 75 mg,solution injectable,AXUMIN 3200 MBq/mL solution injectable,FUMARATE DE BISOPROLOL,,intraveineuse,5505463,67044107,0
9917,,comprimé,80 mg,comprimé,MOBIC 7 5 mg  comprimé,ATORVASTATINE,,orale,3396085,67044235,2.79
9918,,comprimé,250 mg,comprimé sécable,CLOZAPINE MYLAN 25 mg  comprimé sécable,GÉFITINIB,,orale,3570382,67045967,1.12
9919,,solution,3 3 mg,comprimé pelliculé,LEVETIRACETAM TEVA 500 mg  comprimé pelliculé,SOMATROPINE ,,orale,2162600,67049047,22.52
9920,,crème,1 g,comprimé pelliculé,ZOFENIL 30 mg  comprimé pelliculé,NITRATE D'ÉCONAZOLE,,orale,3742009,67049435,15.73
